url,count,average,90th percentile,80th percentile
/api/1/vmsmessages/8135/image/,26,60.26923076923077,93,93
/api/1/vmsmessages/8132/image/,26,57.19230769230769,90,90
/api/1/vmsmessages/8133/image/,26,56.15384615384615,80,80
/api/1/vmsmessages/8143/image/,32,67.15625,174,174
/api/1/vmsmessages/8130/image/,26,56.88461538461539,88,88
/api/1/event/5241/response_rule/,1,308.0,308,308
/api/1/junctionarm/58/get_queue_at_arm/,1,179.0,179,179
/api/1/waffle/get_flag,1,24.0,24,24
/api/1/event/5102/is_editable/,3,31.333333333333332,37,37
/api/1/event/5318/is_editable/,2,69.0,72,72
/api/1/eventfile/,9,154.77777777777777,369,369
/api/1/respondervehicle/,11,217.9090909090909,341,341
/api/1/misc/GetLinkData/,24,1239.7916666666667,1469,1469
/api/1/vmsdevice/156/,31,58.25806451612903,129,129
/api/1/pollution/85/GetPollutionImage/,2,369.5,717,717
/api/1/getatccdata/GetAtccData/,2,748.0,803,803
/api/1/vmsdevice/32/image/,5,40.8,42,42
/api/1/vmsdevice/144/image/,2,39.5,41,41
/api/1/vehant-hotlist-category/,14,34.07142857142857,48,48
/api/1/vmsmessagequeue/,30,266.3333333333333,699,699
/api/1/event/5102/get_events_in_order_of_distance/,3,79.0,112,112
/api/1/color/,1,93.0,93,93
/api/1/reports/generate_report/,7,408.57142857142856,645,645
/api/1/intercomdevice/,11,59.36363636363637,85,85
/api/1/event/5319/,29,288.0689655172414,501,501
/api/1/event/4790/get_events_in_order_of_distance/,2,93.5,141,141
/api/1/violation-vehicle/,7,32.42857142857143,41,41
/api/1/vmsrecurringmessage/,1,260.0,260,260
/api/1/linkpoint/,5,97.2,98,98
/api/1/event/4790/,2,327.0,612,612
/api/1/event/4434/response_rule/,2,274.0,279,279
/api/1/junction/,2,58.0,62,62
/api/1/specialeventdiary/,7,214.14285714285714,177,177
/api/1/vissim_status/,7,141.0,164,164
/api/1/sub_area/,8,53.5,69,69
/api/1/vissim/,6,85.66666666666667,96,96
/api/1/entitygroup/,15,37.46666666666667,47,47
/api/1/junctionarm/99/get_queue_at_arm/,1,159.0,159,159
/api/1/getatccdata/GetAtccHourlyData/,1,226.0,226,226
/api/1/event/3414/,1,238.0,238,238
/api/1/rootcause,1,40.0,40,40
/api/1/event/3414/is_editable/,1,44.0,44,44
/api/1/event/5241/get_events_in_order_of_distance/,1,125.0,125,125
/api/1/eventtype,2,22.5,23,23
/api/1/misc/constants,1,25.0,25,25
/api/1/event/4434/,2,235.0,239,239
/api/1/maplayer,1,21.0,21,21
/api/1/specialevent/,18,10178.5,25384,25384
/api/1/vmsmessages/8191/image/,2,63.5,107,107
/api/1/misc/GetUserActions,1,23.0,23,23
/api/1/intercommessage/,4,51.75,61,61
/api/1/junctionarm/58/,1,61.0,61,61
/api/1/misc/GetData,2,22.5,23,23
/api/1/vmsdevice/,23,266.3478260869565,993,993
/api/1/rootcause/110/,4,31.0,40,40
/api/1/junctionarm/20/get_queue_at_arm/,1,156.0,156,156
/api/1/event/3414/response_rule/,1,288.0,288,288
/api/1/vms-image-preview/get_image/,1,87.0,87,87
/api/1/users/currentuser,1,37.0,37,37
/api/1/misc/get_all_events_ids/,1,38.0,38,38
/api/1/event/5229/is_editable/,1,44.0,44,44
/api/1/event/5229/,1,594.0,594,594
/api/1/event/5319/is_editable/,26,39.73076923076923,50,50
/api/1/event/5319/response_rule/,2,299.0,322,322
/api/1/vmsdevice/81/image/,4,40.25,42,42
/api/1/vmsmessages/332/image/,34,39.294117647058826,44,44
/api/1/vmsdevice/4/image/,3,49.333333333333336,72,72
/api/1/vmsdevice/4/,2,62.0,63,63
/api/1/vmsdevice/59/is_editable/,3,27.666666666666668,31,31
/api/1/violation-vehicle/3/,2,33.0,39,39
/api/1/mapjurisdiction/,1,40.0,40,40
/api/1/avlvehicle/,1,119.0,119,119
/api/1/groups/,3,65.0,67,67
/api/1/notificationaction/,1,250.0,250,250
/api/1/notificationrule/,2,180.0,186,186
/api/1/vmsmessages/8192/image/,2,125.5,141,141
/api/1/vms-message-single/,1,216.0,216,216
/api/1/vmsdevice/59/,4,47.0,112,112
/api/1/devicemanufacturer/,4,34.25,35,35
/api/1/agency/,5,29.0,33,33
/api/1/agency,1,23.0,23,23
/api/1/vmsmessages/8130/image,1,22.0,22,22
/api/1/vmsdevice/1/image/,3,39.666666666666664,44,44
/api/1/vmsdevice/66/image/,4,41.25,50,50
/api/1/damagetype/,4,62.75,91,91
/api/1/atccjunctioncongestionindexmapping/,1,40.0,40,40
/api/1/vmsdevice/3/image/,4,41.25,46,46
/api/1/vmsdevice/157/image/,4,40.0,44,44
/api/1/responder/,9,28.11111111111111,34,34
/api/1/vmsdevice/11/image/,1,39.0,39,39
/api/1/vmsdevice/13/image/,2,39.5,41,41
/api/1/vmsdevice/3/image,1,41.0,41,41
/api/1/vmsmessages/8132/image,1,23.0,23,23
/api/1/vmsfonts/,1,71.0,71,71
/api/1/linearlocation/1130/,1,102.0,102,102
/api/1/comment/,4,40.0,43,43
/api/1/,2,529.0,931,931
/api/1/cctvcameras/,2,475.5,811,811
/api/1/traveltimesource/,4,37.0,67,67
/api/1/traveltimedestination/,4,28.5,39,39
/api/1/vmsdevice/84/image/,1,38.0,38,38
/api/1/injurytype/,4,34.75,42,42
/api/1/anprcameras/,1,140.0,140,140
/api/1/junctionarm/,1,973.0,973,973
/api/1/maplayer/203/,1,21.0,21,21
/api/1/vmsmessageposthistory/,1,1625.0,1625,1625
/api/1/vmscolors/,1,45.0,45,45
/api/1/users/userpermissions,2,34.0,42,42
/api/1/traveltimeroute/,4,34.25,63,63
/api/1/commentcategory/,3,42.0,42,42
/api/1/eventcause,1,23.0,23,23
/api/1/vmsdevice/23/image/,1,36.0,36,36
/api/1/vmsdevice/5/image/,2,41.5,45,45
/api/1/userjurisdictions/get_user_jurisdictions_geojson,1,25.0,25,25
/api/1/injury/,3,74.66666666666667,131,131
/api/1/event/2222/,1,275.0,275,275
/api/1/event/2432/,1,526.0,526,526
/api/1/event/2407/,1,249.0,249,249
/api/1/event/4396/,1,275.0,275,275
/api/1/linkpoint/6821/,1,5689.0,5689,5689
/api/1/event/2323/,1,302.0,302,302
/api/1/event/2655/,1,389.0,389,389
/api/1/event/2330/,1,236.0,236,236
/api/1/event/2347/,1,304.0,304,304
/api/1/event/2384/,1,281.0,281,281
/api/1/event/4552/,1,327.0,327,327
/api/1/event/4459/,1,242.0,242,242
/api/1/event/2466,1,23.0,23,23
/api/1/event/4974/,1,278.0,278,278
/api/1/event/2539/,1,243.0,243,243
/api/1/event/2521,1,28.0,28,28
/api/1/event/2466/,1,443.0,443,443
/api/1/event/2513/,1,242.0,242,242
/api/1/vehicleagency,1,24.0,24,24
/api/1/usernotification/,6,117.83333333333333,260,260
/api/1/linearlocation/1129/,3,77.33333333333333,99,99
