url,count,average,90th percentile,80th percentile
/api/1/vmsmessages/7818/image/,1,103.0,103,103
/api/1/event/2425/,4,271.75,503,503
/api/1/vmsdevice/156/is_editable/,107,30.177570093457945,37,37
/api/1/vmsdevice/156/,121,67.70247933884298,158,158
/api/1/waffle/get_flag,3,24.666666666666668,26,26
/api/1/groups/2/,20,85.75,131,131
/api/1/injurytype/67/,1,37.0,37,37
/api/1/vmsmessages/8231/image/,49,88.18367346938776,205,205
/api/1/vmsmessages/8134/image/,126,100.42857142857143,193,193
/api/1/vmsmessages/8133/image/,106,83.60377358490567,181,181
/api/1/avlvehicle/84/,1,250.0,250,250
/api/1/mapjurisdiction/,51,32.88235294117647,46,46
/api/1/atccjunctioncongestionindexmapping,1,60.0,60,60
/api/1/vmsmessages/8220/image/,67,88.65671641791045,167,167
/api/1/vmsdevice/83/is_editable/,41,360.4146341463415,67,67
/api/1/users/33/,2,146.0,152,152
/api/1/event/3094/,1,228.0,228,228
/api/1/event/5171/,1,294.0,294,294
/api/1/event/5197/,1,687.0,687,687
/api/1/event/3987/,4,253.25,318,318
/api/1/misc/GetUserActions,4,23.75,25,25
/api/1/vehicletype/34/,1,56.0,56,56
/api/1/vmsdevice/2/,2,232.5,394,394
/api/1/vmschannel/2/,1,40.0,40,40
/api/1/event/5123/,1,222.0,222,222
/api/1/event/5087/,1,429.0,429,429
/api/1/event/5326/is_editable/,5,43.2,52,52
/api/1/event/5297/,7,271.14285714285717,471,471
/api/1/event/5326/,11,494.27272727272725,910,910
/api/1/vmsmessageposthistory/,23,834.6521739130435,1943,1943
/api/1/eventfile/,113,133.50442477876106,398,398
/api/1/vmsmessages/7787/image/,5,59.0,84,84
/api/1/event/5326/get_events_in_order_of_distance/,2,127.5,129,129
/api/1/event/5297/is_editable/,1,40.0,40,40
/api/1/trafficpolicestation/13/,8,54.0,94,94
/api/1/associatedentity/,26,424.96153846153845,461,461
/api/1/textresponseelement/,92,571.3695652173913,1339,1339
/api/1/event/5326/response_rule/,1,385.0,385,385
/api/1/deviceresponseelement/,75,851.6,838,838
/api/1/specialevent/,137,1544.6496350364964,730,730
/api/1/road_closure/GetLinksInBox,1,34.0,34,34
/api/1/tableau-dashboard-backend/GetTableauParams/,50,142.2,218,218
/api/1/vmsmessages/8135/image/,106,93.70754716981132,184,184
/api/1/hotlistvehicle/,50,110.78,258,258
/api/1/event/4790/response_rule/,1,344.0,344,344
/api/1/event/4790/is_editable/,5,44.2,53,53
/api/1/event/4790/,3,313.3333333333333,612,612
/api/1/grievances/,21,163.23809523809524,280,280
/api/1/responseplan/response_rule/,59,29555.406779661018,42107,42107
/api/1/vmsdevice/156/is_editable,1,29.0,29,29
/api/1/specialeventdiary/,67,120.8955223880597,170,170
/api/1/stakeholder/,68,35.98529411764706,46,46
/api/1/caserootcause/,28,127.89285714285714,543,543
/api/1/misc/get_all_events_ids/,2,39.0,40,40
/api/1/reports/generate_report/,38,1316.657894736842,1291,1291
/api/1/link_restriction/,21,71.04761904761905,73,73
/api/1/traffixtask/,31,763.6774193548387,1555,1555
/api/1/kpiconfig/,68,33.38235294117647,42,42
/api/1/event/5328/response_rule/,7,182.28571428571428,187,187
/api/1/casetype/,65,34.01538461538462,44,44
/api/1/module/,46,45.54347826086956,55,55
/api/1/rootcause/117/,12,27.75,36,36
/api/1/rootcause/116/,8,29.5,38,38
/api/1/userjurisdictions/,32,55.40625,82,82
/api/1/rootcause,3,30.666666666666668,40,40
/api/1/casefile/,38,98.3157894736842,364,364
/api/1/event/1239/is_editable/,2,27.5,33,33
/api/1/event/1239/,2,28.0,34,34
/api/1/groups/8/,10,37.9,42,42
/api/1/groups/10/,14,37.42857142857143,47,47
/api/1/groups/11/,10,37.4,38,38
/api/1/weather/GetWeather/,61,377.37704918032784,498,498
/api/1/categories/,20,38.3,44,44
/api/1/sub-categories/,23,60.17391304347826,78,78
/api/1/event/3079/icon/,9,74.77777777777777,79,79
/api/1/users/userpermissions,4,28.5,42,42
/api/1/vmsdevice/publish_message/,73,664.2876712328767,1460,1460
/api/1/mapview/,6,31.5,36,36
/api/1/road_closure/GetLinksData/,16,102.9375,98,98
/api/1/event/5328/is_editable/,7,41.57142857142857,42,42
/api/1/vehant-hotlist-category/,51,60.05882352941177,61,61
/api/1/linkpoint/,43,88.81395348837209,119,119
/api/1/event/12/icon/,4,65.75,90,90
/api/1/trafficpolicestation,1,25.0,25,25
/api/1/maplayer,3,22.0,23,23
/api/1/detectedavl/active_vip_vehicle_locations/,93,103.66666666666667,120,120
/incident-management/api/1/eventcause,1,19.0,19,19
/api/1/event/1/icon/,4,68.75,92,92
/api/1/groups/5/,14,40.357142857142854,50,50
/api/1/groups/1/,11,53.81818181818182,60,60
/api/1/groups/7/,15,38.06666666666667,45,45
/api/1/event/5327/is_editable/,15,50.333333333333336,74,74
/api/1/event/5327/,20,441.75,867,867
/api/1/traffixcase/59/,1,140.0,140,140
/api/1/injury/,16,228.0625,450,450
/api/1/color/,5,73.0,91,91
/api/1/damagetype/,21,58.476190476190474,91,91
/api/1/event/5327/event_summary_html/,1,507.0,507,507
/api/1/linkpoint/6834/,1,11437.0,11437,11437
/api/1/event/2271/,3,326.6666666666667,375,375
/api/1/junctionarm/93/,5,46.4,63,63
/api/1/vehicleinvolved/search_license_plate/,7,40.857142857142854,51,51
/api/1/event/2522/,4,509.0,1182,1182
/api/1/event/2526/,3,261.0,265,265
/api/1/event/2525/,3,293.6666666666667,301,301
/api/1/event/2528/,3,305.6666666666667,327,327
/api/1/event/2539/,3,279.3333333333333,318,318
/api/1/event/2579/,3,347.6666666666667,445,445
/api/1/event/4403/,3,275.0,339,339
/api/1/event/4404/,3,279.0,321,321
/api/1/event/2632/,3,263.3333333333333,280,280
/api/1/event/2607/,3,440.3333333333333,594,594
/api/1/users/6/,7,121.14285714285714,129,129
/api/1/event/2655/,3,386.3333333333333,416,416
/api/1/event/2222/,3,325.6666666666667,366,366
/api/1/event/2369/,3,319.6666666666667,366,366
/api/1/event/3395/,3,303.3333333333333,376,376
/api/1/event/2448/,3,477.0,574,574
/api/1/event/2512/,3,283.3333333333333,386,386
/api/1/event/2327/,3,276.0,284,284
/api/1/event/2351/,3,358.6666666666667,503,503
/api/1/event/2338/,3,356.3333333333333,406,406
/api/1/event/2379/,3,291.6666666666667,330,330
/api/1/event/4552/,3,357.0,379,379
/api/1/event/4459/,3,296.3333333333333,338,338
/api/1/groups/9/,14,37.5,46,46
/api/1/cityinfo/,5,205.4,62,62
/api/1/event/2355/is_editable/,8,37.5,50,50
/api/1/comment/,8,42.75,46,46
/api/1/event/5319/,31,281.61290322580646,501,501
/api/1/event/2355/,8,285.25,686,686
/api/1/event/2355/response_rule/,6,195.66666666666666,359,359
/api/1/event/5319/is_editable/,28,39.107142857142854,50,50
/api/1/event/1/,1,592.0,592,592
/api/1/event/3397/,3,282.6666666666667,333,333
/api/1/event/2538/,3,380.3333333333333,608,608
/api/1/event/2576/,3,382.0,569,569
/api/1/event/2578/,3,381.0,482,482
/api/1/event/4398/,3,359.6666666666667,463,463
/api/1/event/2440/,3,317.3333333333333,385,385
/api/1/event/2452/,3,296.0,319,319
/api/1/event/2480/,3,309.6666666666667,381,381
/api/1/event/4402/,3,258.0,304,304
/api/1/event/2542/,3,282.6666666666667,317,317
/api/1/event/2502/,3,344.6666666666667,518,518
/api/1/event/2501/,3,383.6666666666667,534,534
/api/1/event/2368/,3,295.0,336,336
/api/1/event/2395/,3,310.6666666666667,338,338
/api/1/event/2393/,3,276.0,343,343
/api/1/event/2403/,3,249.66666666666666,269,269
/api/1/event/2407/,3,261.0,296,296
/api/1/groups/6/,13,44.53846153846154,51,51
/api/1/groups/6,1,24.0,24,24
/api/1/vmsdevice/12/is_editable/,1,32.0,32,32
/api/1/permissions/,20,206.7,241,241
/api/1/linearlocation/,12,413.9166666666667,1181,1181
/api/1/traffixcase/110/,13,117.92307692307692,160,160
/api/1/event/5329/get_events_in_order_of_distance/,2,154.5,192,192
/api/1/vehicleinvolved/,12,334.8333333333333,567,567
/api/1/eventseverity,2,23.0,24,24
/api/1/event/5330/,12,346.5,684,684
/api/1/users/currentuser_display_group,3,54.666666666666664,117,117
/api/1/event/2482/get_events_in_order_of_distance/,2,75.5,129,129
/api/1/event/2482/,2,415.0,807,807
/api/1/event/5332/is_editable/,2,48.0,53,53
/api/1/laneblockage/,4,50.5,54,54
/api/1/groups/4/,10,42.2,47,47
/api/1/responseplan/,10,174.2,222,222
/api/1/usernotification/466261/,2,109.0,153,153
/api/1/event/2247/icon/,2,79.5,82,82
/api/1/event/2275/icon/,2,79.0,83,83
/api/1/event/2277/icon/,2,86.0,97,97
/api/1/event/2276/icon/,2,81.0,91,91
/api/1/event/2287/icon/,2,72.0,76,76
/api/1/event/2282/icon/,2,77.0,82,82
/api/1/event/2290/icon/,2,74.0,75,75
/api/1/event/2297/icon/,2,72.5,76,76
/api/1/event/2291/icon/,2,78.5,79,79
/api/1/event/2301/icon/,2,76.5,85,85
/api/1/event/2317/icon/,2,83.5,91,91
/api/1/event/23/icon/,2,88.5,96,96
/api/1/event/2109/icon/,2,71.5,72,72
/api/1/event/2114/icon/,2,81.5,85,85
/api/1/event/2215/icon/,2,88.0,91,91
/api/1/event/2212/icon/,2,79.0,85,85
/api/1/event/2228/icon/,2,71.5,74,74
/api/1/event/2242/icon/,2,48.5,50,50
/api/1/event/2239/icon/,2,71.0,74,74
/api/1/event/2246/icon/,2,72.0,73,73
/api/1/event/5/icon/,9,78.55555555555556,98,98
/api/1/event/15/icon/,2,81.5,93,93
/api/1/event/19/icon/,2,72.0,75,75
/api/1/event/16/icon/,2,83.0,96,96
/api/1/event/5329/response_rule/,1,284.0,284,284
/api/1/event/5329/is_editable/,12,46.833333333333336,69,69
/api/1/event/2240/icon/,2,48.5,50,50
/api/1/event/2244/icon/,2,69.5,70,70
/api/1/event/2278/icon/,2,74.5,76,76
/api/1/event/2279/icon/,2,71.0,73,73
/api/1/event/2300/icon/,2,72.0,73,73
/api/1/event/2299/icon/,2,77.5,86,86
/api/1/event/2302/icon/,2,75.5,80,80
