url,count,average,90th percentile,80th percentile
/admin/events/modulebasedfilter/,2,615.5,643,643
/favicon.ico,4,20.25,21,21
/admin/default/user/?_popup=1,2,254.0,265,265
/admin/events/modulebasedfilter/5/change/?_changelist_filters=p%3D1,5,338.2,518,518
/api/1/misc/constants/?module_id=96,1,91.0,91,91
/api/1/misc/constants/?module_id=82,5,94.4,96,96
/api/1/eventseverity/?ordering=name&fields=name&module=96,1,40.0,40,40
/api/1/eventtype/?ordering=name&event_category=planned&fields=name&module=96,1,50.0,50,50
/admin/events/modulebasedfilter/5/change/,2,327.0,592,592
/admin/events/eventtype/16/change/,2,424.0,578,578
/api/1/misc/get_point_info/?longitude=-79.14070129394533&latitude=43.72595598341762,1,106.0,106,106
/admin/default/cityflag/,2,277.5,280,280
/api/1/misc/get_point_info/?longitude=-79.54600810600446&latitude=43.82256188628942,1,709.0,709,709
/api/1/event/5/,2,451.0,631,631
/api/1/misc/get_point_info/?longitude=-79.55474853515626&latitude=44.02540896761498,1,107.0,107,107
/api/1/eventtype/?is_visible=true&ordering=name&module=82,2,50.0,57,57
/api/1/groups/1/,1,104.0,104,104
"/api/1/vmsmessagelibrary/?fields=id,name,description",4,31.0,43,43
"/api/1/vmsmessagequeue/?vms__id=156&status__in=queued,posted&ordering=-priority&expiry_datetime__gte=2019-05-17%2012:45:57&",2,418.5,815,815
/admin/notifications/usernotification/,1,509.0,509,509
/api/1/usernotification/GetNotification/?is_refresh=true,1,61.0,61,61
/api/1/module/,1,44.0,44,44
/api/1/event/5297/is_editable/,1,45.0,45,45
/api/1/road_closure/GetLinksInBox/?start_longitude=78.48402678966524&start_latitude=17.386492498370142&end_longitude=78.49017441272737&end_latitude=17.383129072862737&zoom_level=18,1,90.0,90,90
/api/1/groups/,1,76.0,76,76
"/api/1/vmsmessagequeue/?vms__id=156&status__in=queued,posted&ordering=-priority&expiry_datetime__gte=2019-05-17%2012:46:18&",2,136.0,252,252
/api/1/eventfile/?event=4576&is_image=true,1,45.0,45,45
/api/1/misc/get_point_info/?longitude=-79.38888651707614&latitude=43.64254268480735,1,434.0,434,434
